mz,RT,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18
292.0708102,0.63335,111009.3115,102072.2454,115853.4714,112066.8487,107952.899,103088.5797,104415.8447,98863.89193,103778.6764,43328.81123,52724.45391,42586.24317,51628.95714,64789.65617,36198.71528,93554.86835,94554.17006,105344.7493,62942.7221,71136.10537,74881.48658,130515.9284,124701.9809,147422.6652,130075.1428,122730.1917,103926.3947
636.3477391,9.533616667,1262463.376,1197598.766,1249716.355,1201019.801,1072878.175,1028204.625,936513.1107,960304.1899,870337.3481,1549474.906,1553679.638,1497278.74,1569702.371,1324366.147,1397203.204,1246938.489,1384710.917,1373882.399,1197890.121,1116087.637,1072122.125,1320649.802,1526799.807,1699690.632,1381088.884,1300643.764,1357462.253
473.9496936,3.955216667,29943.14501,25419.06943,27598.87538,20752.45781,21971.95081,17104.72762,19344.08594,16429.46867,18174.79761,11066.86615,7946.087658,7342.971937,10866.29369,10334.79887,6466.437351,28076.53307,24766.969,25201.60418,24059.33061,15224.61671,24102.84482,23643.76842,21745.0033,26641.26225,26156.92668,27878.4707,22394.07563
465.0393467,6.153783333,24529.67773,21594.54541,26724.95274,24746.19197,21342.15007,22865.99806,19225.75789,23135.06197,20821.86444,39757.29467,39821.95292,53501.96496,40274.04745,35040.55861,36804.75105,34359.82137,45956.3851,45611.52681,39536.03894,38713.72774,44551.89716,39354.56055,49309.15635,51467.41638,46686.51543,38583.69976,39703.93616
261.0400607,3.9838,27489.5701,33706.52819,25448.74508,33165.66846,22637.72831,22972.44416,25281.01115,26737.56709,21186.01541,1480.668828,2011.253977,1606.152337,8853.83828,1584.353971,3338.719852,68267.98822,30917.63042,39754.88004,36932.50973,21931.60488,22700.40107,32525.31391,23342.85352,32620.24516,33590.5811,67430.05955,58285.67754
242.0785152,0.63335,393352.4355,391622.1421,389584.5743,371370.4069,378319.2625,358433.9606,325475.3561,330266.5713,334729.3059,143252.832,168641.4447,147947.4132,176211.9157,225562.016,132055.386,297574.6111,354181.4828,352565.1072,191362.5552,230303.1402,221763.9401,460401.3106,456914.8324,522142.7982,433885.6531,417593.998,343531.0439
338.9840581,6.886183333,111244.2378,107608.7791,109751.4458,108911.5214,95419.8093,69441.83943,52588.32092,50899.66777,53544.236,36333.48949,28867.78675,23711.28182,30000.1853,32431.42044,20763.1834,35606.5136,31073.11682,31049.96946,21612.20005,22089.03884,16166.16431,32563.13241,31898.69034,35339.75374,18485.22287,23617.43763,19484.19545
212.9775014,4.51115,235576.5986,243083.6777,225404.8951,218400.5491,198315.688,150721.3447,134177.5932,131236.2747,125413.3762,133964.627,116797.6964,107451.7824,103307.6292,98030.64891,88155.12626,124654.6704,109983.2991,109453.682,95546.56915,91007.07439,88879.8261,114826.1636,112262.059,105525.8495,95460.92964,93613.39419,90315.66362
547.0148391,7.83615,74356.90563,65009.05244,67997.54627,63390.04802,50265.63392,48917.89106,48379.18192,37013.83836,37094.33092,118563.6863,105196.8369,93683.45233,91057.53461,105549.7723,90306.99435,77008.73775,113598.4435,119512.181,87543.86502,84805.41916,117540.1512,111705.4354,112589.807,127534.0529,112390.9592,92171.24553,101685.4978
407.0445554,3.9838,35752.38368,47297.08466,42122.64754,42924.31641,42626.61582,36826.35489,35486.75255,36685.20259,36022.71646,7085.790768,1900.753251,1685.859351,9124.578675,10125.4642,1533.46875,58819.12232,46112.71493,54444.21128,57054.78754,35999.55719,33075.01218,50939.1113,45611.15693,61750.49837,48568.14622,65639.56762,59664.66842
218.1019731,3.748766667,180953.4824,173937.2305,175510.4408,171219.2026,170155.9452,158912.5238,148975.7841,143385.668,142417.5532,241647.2858,314210.7061,290470.3731,215717.8893,187115.9674,462402.7104,86266.38904,107863.0855,84828.20834,65526.33224,80524.75971,78669.58007,73355.43704,95196.88683,89686.84059,126788.3161,84697.73232,83341.48183
323.115111,7.252933333,60400.19922,67194.79947,66119.12914,64981.95363,61178.22869,66565.41199,60544.25139,65398.61687,58411.86038,106002.5321,118389.0268,103788.1912,115844.3579,105170.0815,91516.04435,102586.4778,109490.9457,142653.8096,120586.6709,105689.2458,137195.9337,100675.4497,135305.8457,141766.5984,123003.7244,108809.9298,122454.1147
551.9672478,3.9838,122777.8965,133989.109,126235.7721,134605.1254,127160.7277,130282.6178,110269.5015,107337.7539,104847.7388,19905.81197,15129.96853,9789.554693,50765.17431,33403.58669,6940.931834,181889.2696,140775.6771,141354.7524,151254.6588,102223.3865,96739.28399,163912.1434,137834.5171,146497.7474,144364.6523,150462.7044,151743.5668
1083.664307,8.828666667,495589.6835,505743.5009,507933.3799,504517.8121,454470.2557,470359.3068,393854.6404,432170.8177,411776.2165,137492.5983,127260.6622,100699.3462,146139.4085,403171.5886,65601.38378,757213.9975,849302.1327,957395.1614,725335.9518,729036.7691,931450.0643,715701.3692,869224.7704,780250.9823,828718.735,603485.7145,799212.5001
225.9183465,1.787866667,461096.9621,450792.264,457147.0116,415774.4433,437012.8554,366433.5752,311262.1324,290684.3995,314490.2093,333774.6095,347605.6929,291485.7401,284638.0044,264087.63,279225.629,331021.1241,286394.1188,281342.7175,262311.3761,266340.4859,250736.2415,315139.2028,297265.182,275237.3888,279715.9345,260407.2814,237393.4638
420.2501218,6.721233333,186138.439,207739.1067,208483.5747,192257.4685,202540.9328,137430.6852,135845.2576,127360.1058,139733.308,2253.171143,28817.39272,16881.61249,7681.390608,9145.910919,13818.63979,6300.414551,13553.4103,20243.46562,12721.36866,29109.40984,18405.28856,11888.90664,18846.03335,20401.12792,18826.68054,14539.5804,26539.08586
309.1725918,8.111966667,512180.0999,519094.2598,519798.4417,504187.9019,470019.991,397393.3345,370728.074,360728.618,347326.8122,351494.3102,361489.0732,332033.7795,341889.1128,346927.831,326361.9141,329069.6491,368244.8762,366513.679,329972.8587,310479.08,318538.5226,333299.8616,365021.8582,363667.5335,339842.5759,353036.5575,307788.6049
329.0288656,6.871133333,240641.7147,215021.3167,200764.1175,216199.4522,179476.0089,132409.4647,99571.02318,93974.52466,99507.25023,74089.30278,62192.02973,56570.42179,46946.18783,42019.12846,31655.19469,65422.25049,59176.32642,43739.33546,40161.09765,33846.26996,34700.11211,66113.78952,57865.37526,45360.8745,43966.74951,40505.95569,26883.8654
564.3294325,8.7046,1598749.241,1530430.803,1542977.442,1539580.407,1467927.133,1471691.627,1468244.52,1469419.509,1460103.088,927146.2398,812845.7331,633242.0788,913566.7515,1202230.659,759132.328,1883050.185,2035814.858,2178438.178,1886620.761,2042877.298,2344363.265,1863706.521,2104001.112,1912855.129,2093101.411,1736580.086,2086914.492
700.3034009,8.828666667,705547.054,717821.801,725207.3859,737228.4755,653538.8274,658283.1187,614134.0499,606573.5154,528723.6173,466340.1063,427656.8626,333382.9095,490318.754,560617.8084,356552.0562,835364.7977,879434.2324,903861.1298,742515.7747,775275.6296,854777.4309,815157.3666,840168.4514,793190.1915,765880.1016,711968.4641,807754.8795
